site_id,site_name,status,category,reason,collected
gob-mx-buengobierno,gob.mx Archivo de Prensa — Good governance,된다,,,771
gob-mx-defensa,gob.mx Archivo de Prensa — Defense,된다,,,756
gob-mx-mujeres,gob.mx Archivo de Prensa — Women,된다,,,270
gob-mx-salud,gob.mx Archivo de Prensa — Health,된다,,,765
gob-mx-se,gob.mx Archivo de Prensa — Economy,된다,,,762
gob-mx-sectur,gob.mx Archivo de Prensa — Tourism,된다,,,765
gob-mx-sedatu,gob.mx Archivo de Prensa — Territorial development,된다,,,756
gob-mx-segob,gob.mx Archivo de Prensa — Interior,된다,,,747
gob-mx-semar,gob.mx Archivo de Prensa — Navy,된다,,,783
gob-mx-semarnat,gob.mx Archivo de Prensa — Environment and Natural Resources,된다,,,774
gob-mx-sep,gob.mx Archivo de Prensa — Public Education,된다,,,774
gob-mx-shcp,gob.mx Archivo de Prensa — Finance and Public Credit,된다,,,762
gob-mx-sict,gob.mx Archivo de Prensa — Communications and Transportation,된다,,,747
gob-mx-sre,gob.mx Archivo de Prensa — Foreign Affairs,된다,,,774
gob-mx-sspc,gob.mx Archivo de Prensa — Security and Citizen Protection,된다,,,773
gob-mx-stps,gob.mx Archivo de Prensa — Labor and Social Security,된다,,,748
gov-gr-search,Custom: gov-gr-search,된다,,,489
gov-ie-en,Custom: gov-ie-en,된다,,,780
gov-il-collectors,gov.il — Israeli Ministry News & Publications,된다,,,708
gov-scot-publications,Custom: gov-scot-publications,된다,,,1024
gov-scot-statistics-and-resea,Custom: gov-scot-statistics-and-resea,된다,,,353
gov-uk-search,Custom: gov-uk-search,된다,,,862
gov-wales-publications,Custom: gov-wales-publications,된다,,,155
government-se-publications,Government Offices of Sweden — Publications,된다,,,465
graduateinstitute-ch-library,Custom: graduateinstitute-ch-library,된다,,,398
gri-re-kr-web,Custom: gri-re-kr-web,된다,,,516
gsi-ie-en-ie,Custom: gsi-ie-en-ie,안된다,IP차단,"우리 IP 차단(403/WAF) — 클라이언트 egress에서 재확인 필요, 코드문제 아님",113
gwangju-go-kr-boardlistdo,Custom: gwangju-go-kr-boardlistdo,된다,,,500
gyeongnam-go-kr-board,Custom: gyeongnam-go-kr-board,된다,,,190
hal-science-afd,Custom: hal-science-afd,된다,,,59
hal-science-ign-ensg,Custom: hal-science-ign-ensg,된다,,,3288
harcresearch-org-news,Custom: harcresearch-org-news,된다,,,240
harcresearch-org-research,Custom: harcresearch-org-research,된다,,,41
hatvp-fr-actualites-et-public,Custom: hatvp-fr-actualites-et-public,된다,,,57
hautconseilclimat-fr-ressources-pedagogiq,Custom: hautconseilclimat-fr-ressources-pedagogiq,된다,,,234
